"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,5,43,8,35,12,"menor a 7 dias","menor a 7 dias"
"2",2,4,374,9,364,10,"menor a 7 dias","mayor a 14 dias"
"3",3,3,224,11,212,6,"menor a 7 dias","entre 7 y 14 dias"
"4",4,2,393,113,279,2,"menor a 7 dias","mayor a 14 dias"
"5",5,5,341,345,3,8,"mayor a 14 dias","mayor a 14 dias"
"6",6,4,449,73,377,4,"menor a 7 dias","mayor a 14 dias"
"7",7,1,108,11,96,16,"menor a 7 dias","menor a 7 dias"
"8",8,1,353,176,177,1,"entre 7 y 14 dias","mayor a 14 dias"
"9",9,3,265,250,15,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"10",10,2,371,69,301,10,"menor a 7 dias","mayor a 14 dias"
"11",11,1,398,30,368,7,"menor a 7 dias","mayor a 14 dias"
"12",12,2,162,126,36,10,"menor a 7 dias","menor a 7 dias"
"13",13,1,60,23,36,11,"menor a 7 dias","menor a 7 dias"
"14",14,3,184,269,85,14,"entre 7 y 14 dias","entre 7 y 14 dias"
"15",15,5,234,177,57,1,"entre 7 y 14 dias","entre 7 y 14 dias"
"16",16,2,306,140,166,10,"menor a 7 dias","entre 7 y 14 dias"
"17",17,3,164,39,125,3,"menor a 7 dias","menor a 7 dias"
"18",18,6,278,387,108,16,"mayor a 14 dias","entre 7 y 14 dias"
"19",19,6,330,174,156,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"20",20,6,240,206,34,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"21",21,6,311,97,214,10,"menor a 7 dias","entre 7 y 14 dias"
"22",22,1,415,403,11,10,"mayor a 14 dias","mayor a 14 dias"
"23",23,1,499,836,337,15,"mayor a 14 dias","mayor a 14 dias"
"24",24,3,193,752,558,16,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,1,283,627,344,16,"mayor a 14 dias","entre 7 y 14 dias"
"26",26,2,113,174,61,5,"entre 7 y 14 dias","menor a 7 dias"
"27",27,2,208,66,142,16,"menor a 7 dias","entre 7 y 14 dias"
"28",28,2,350,49,301,8,"menor a 7 dias","mayor a 14 dias"
"29",29,5,181,1172,991,13,"mayor a 14 dias","entre 7 y 14 dias"
"30",30,3,301,60,241,6,"menor a 7 dias","entre 7 y 14 dias"
"31",31,2,443,457,14,14,"mayor a 14 dias","mayor a 14 dias"
"32",32,6,330,440,110,5,"mayor a 14 dias","entre 7 y 14 dias"
"33",33,1,294,49,245,10,"menor a 7 dias","entre 7 y 14 dias"
"34",34,5,883,161,721,5,"menor a 7 dias","mayor a 14 dias"
"35",35,5,253,36,217,16,"menor a 7 dias","entre 7 y 14 dias"
"36",36,3,592,127,465,4,"menor a 7 dias","mayor a 14 dias"
"37",37,3,461,74,386,10,"menor a 7 dias","mayor a 14 dias"
"38",38,2,39,51,12,1,"menor a 7 dias","menor a 7 dias"
"39",39,2,116,589,472,16,"mayor a 14 dias","menor a 7 dias"
"40",40,5,242,172,71,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"41",41,3,78,309,231,16,"entre 7 y 14 dias","menor a 7 dias"
"42",42,1,443,349,94,10,"mayor a 14 dias","mayor a 14 dias"
"43",43,2,348,267,81,16,"entre 7 y 14 dias","mayor a 14 dias"
"44",44,2,126,9,117,8,"menor a 7 dias","menor a 7 dias"
"45",45,1,222,44,178,7,"menor a 7 dias","entre 7 y 14 dias"
"46",46,4,96,188,92,16,"entre 7 y 14 dias","menor a 7 dias"
"47",47,1,205,169,36,9,"entre 7 y 14 dias","entre 7 y 14 dias"
"48",48,6,192,89,103,4,"menor a 7 dias","entre 7 y 14 dias"
"49",49,4,236,69,167,4,"menor a 7 dias","entre 7 y 14 dias"
"50",50,3,601,775,173,4,"mayor a 14 dias","mayor a 14 dias"
"51",51,1,419,1113,694,5,"mayor a 14 dias","mayor a 14 dias"
"52",52,2,70,94,24,11,"menor a 7 dias","menor a 7 dias"
