"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,2,308,322,14,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"2",2,1,277,53,224,4,"menor a 7 dias","entre 7 y 14 dias"
"3",3,1,267,216,51,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"4",4,6,381,569,188,8,"mayor a 14 dias","mayor a 14 dias"
"5",5,1,236,106,130,3,"menor a 7 dias","entre 7 y 14 dias"
"6",6,3,419,131,288,7,"menor a 7 dias","mayor a 14 dias"
"7",7,3,217,80,137,7,"menor a 7 dias","entre 7 y 14 dias"
"8",8,5,224,32,192,4,"menor a 7 dias","entre 7 y 14 dias"
"9",9,2,372,82,290,4,"menor a 7 dias","mayor a 14 dias"
"10",10,3,315,84,230,1,"menor a 7 dias","entre 7 y 14 dias"
"11",11,2,202,26,177,8,"menor a 7 dias","entre 7 y 14 dias"
"12",12,5,124,85,39,7,"menor a 7 dias","menor a 7 dias"
"13",13,6,225,361,136,13,"mayor a 14 dias","entre 7 y 14 dias"
"14",14,5,428,866,439,10,"mayor a 14 dias","mayor a 14 dias"
"15",15,3,163,138,25,4,"menor a 7 dias","menor a 7 dias"
"16",16,5,174,734,560,14,"mayor a 14 dias","entre 7 y 14 dias"
"17",17,5,658,274,385,1,"entre 7 y 14 dias","mayor a 14 dias"
"18",18,1,259,658,400,10,"mayor a 14 dias","entre 7 y 14 dias"
"19",19,6,190,191,1,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"20",20,6,222,591,369,4,"mayor a 14 dias","entre 7 y 14 dias"
"21",21,4,257,279,22,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"22",22,2,257,152,106,16,"menor a 7 dias","entre 7 y 14 dias"
"23",23,5,407,227,180,6,"entre 7 y 14 dias","mayor a 14 dias"
"24",24,4,167,101,67,8,"menor a 7 dias","menor a 7 dias"
"25",25,1,352,47,305,4,"menor a 7 dias","mayor a 14 dias"
"26",26,2,229,1,228,10,"menor a 7 dias","entre 7 y 14 dias"
"27",27,2,365,155,210,7,"menor a 7 dias","mayor a 14 dias"
"28",28,2,145,240,95,16,"entre 7 y 14 dias","menor a 7 dias"
"29",29,1,104,124,20,10,"menor a 7 dias","menor a 7 dias"
"30",30,2,290,557,267,8,"mayor a 14 dias","entre 7 y 14 dias"
"31",31,2,507,210,297,4,"entre 7 y 14 dias","mayor a 14 dias"
"32",32,2,89,389,300,7,"mayor a 14 dias","menor a 7 dias"
"33",33,6,281,192,89,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"34",34,6,338,239,99,10,"entre 7 y 14 dias","mayor a 14 dias"
"35",35,2,623,30,593,16,"menor a 7 dias","mayor a 14 dias"
"36",36,1,52,422,370,1,"mayor a 14 dias","menor a 7 dias"
"37",37,1,323,86,237,2,"menor a 7 dias","entre 7 y 14 dias"
"38",38,2,412,480,68,8,"mayor a 14 dias","mayor a 14 dias"
"39",39,3,272,283,12,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"40",40,3,302,642,340,8,"mayor a 14 dias","entre 7 y 14 dias"
"41",41,3,264,31,233,9,"menor a 7 dias","entre 7 y 14 dias"
"42",42,4,423,36,387,4,"menor a 7 dias","mayor a 14 dias"
"43",43,2,395,1020,625,16,"mayor a 14 dias","mayor a 14 dias"
"44",44,1,409,401,8,7,"mayor a 14 dias","mayor a 14 dias"
"45",45,3,265,1253,987,6,"mayor a 14 dias","entre 7 y 14 dias"
"46",46,3,381,191,190,9,"entre 7 y 14 dias","mayor a 14 dias"
"47",47,1,146,7,139,10,"menor a 7 dias","menor a 7 dias"
"48",48,1,304,126,178,1,"menor a 7 dias","entre 7 y 14 dias"
"49",49,3,223,144,79,14,"menor a 7 dias","entre 7 y 14 dias"
"50",50,2,214,49,164,4,"menor a 7 dias","entre 7 y 14 dias"
