"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,2,154,84,70,9,"menor a 7 dias","menor a 7 dias"
"2",2,5,77,116,39,6,"menor a 7 dias","menor a 7 dias"
"3",3,1,457,24,433,4,"menor a 7 dias","mayor a 14 dias"
"4",4,6,830,490,340,2,"mayor a 14 dias","mayor a 14 dias"
"5",5,2,318,820,502,9,"mayor a 14 dias","entre 7 y 14 dias"
"6",6,2,196,110,86,10,"menor a 7 dias","entre 7 y 14 dias"
"7",7,4,217,243,26,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"8",8,3,336,862,526,10,"mayor a 14 dias","entre 7 y 14 dias"
"9",9,4,284,387,103,7,"mayor a 14 dias","entre 7 y 14 dias"
"10",10,2,121,639,518,5,"mayor a 14 dias","menor a 7 dias"
"11",11,2,132,142,10,15,"menor a 7 dias","menor a 7 dias"
"12",12,5,264,251,13,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"13",13,2,442,374,68,7,"mayor a 14 dias","mayor a 14 dias"
"14",14,1,605,634,29,1,"mayor a 14 dias","mayor a 14 dias"
"15",15,3,396,553,157,10,"mayor a 14 dias","mayor a 14 dias"
"16",16,2,287,240,48,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"17",17,6,193,356,163,14,"mayor a 14 dias","entre 7 y 14 dias"
"18",18,2,232,26,206,1,"menor a 7 dias","entre 7 y 14 dias"
"19",19,1,259,332,73,5,"entre 7 y 14 dias","entre 7 y 14 dias"
"20",20,2,228,61,167,7,"menor a 7 dias","entre 7 y 14 dias"
"21",21,2,599,215,384,9,"entre 7 y 14 dias","mayor a 14 dias"
"22",22,3,398,180,218,8,"entre 7 y 14 dias","mayor a 14 dias"
"23",23,3,84,197,113,5,"entre 7 y 14 dias","menor a 7 dias"
"24",24,5,458,3,454,4,"menor a 7 dias","mayor a 14 dias"
"25",25,3,527,1098,570,3,"mayor a 14 dias","mayor a 14 dias"
